,animate.css,AudioKit,bdb,beets,brackets,caffe,calcuta,cpython,earthdata-search,emcee,exo,exports,fsharp,gimp,hiv,hospitalrun-frontend,Hystrix,iina,jenkins,Leaflet,m-coffee,m-names,OptiKey,osquery,PhysicsJS,pybuilder,scikitlearn,shellcheck,soundnode-app,spacemacs,standard,uws
app,0.953004581511,0.99961618883,0.999922710782,0.998438976237,1.0,0.99131237054,0.952200029318,0.997971994392,0.998050771976,1.0,0.95183010389,0.916105615787,1.0,0.989595087066,0.914171876019,0.861572577519,0.999977898776,0.998353941753,0.999828669286,0.998828645142,0.970893880073,0.82211059832,1.0,0.999186666517,1.0,1.0,0.997451205051,0.979446761736,1.0,0.942214727019,1.0,0.97071631737
git,0.932883368013,0.999630774907,0.999934018218,0.99968205551,1.0,0.998683975285,0.973432891335,0.999748254714,0.999129499953,1.0,0.995281479857,0.979797742329,0.998895806459,0.996125473946,0.992722826942,0.958835205816,0.999974712749,0.997689884366,0.999930163879,0.997346904602,0.988609890183,0.990649037085,0.995265533504,0.998983596418,1.0,0.999927154057,0.999366458955,0.998541604383,1.0,0.977414728293,1.0,0.999328027492
hil,0.993526371716,0.999417717,0.999931186431,0.999708581842,1.0,0.995721939628,0.955108143479,0.995303488842,0.999166524355,1.0,0.980457635475,0.963484688555,1.0,0.993059300608,0.952941123727,0.923424738623,0.999968005509,0.997236445307,0.999882127229,0.977562846917,0.975150495256,0.910942966526,1.0,0.9989528544,1.0,1.0,0.999075005794,0.999200850253,1.0,0.962457543433,1.0,0.9990206366
moo,0.992339626147,0.999474377975,0.999928233926,0.999663602473,1.0,0.993394873362,0.963773948663,0.99583330388,0.998778038651,1.0,0.982220359252,0.961465105109,1.0,0.992046803716,0.956265905843,0.93616823069,0.999971801608,0.996612472126,0.999898415768,0.980023318827,0.9757812518,0.924989032482,1.0,0.998669820656,1.0,1.0,0.999125819746,0.999305076551,1.0,0.953070340642,1.0,0.999134900125
nac,0.941130206361,0.999393447472,0.999937417808,0.999693994974,1.0,0.998675140767,0.964918804004,0.999817693721,0.998864730571,1.0,0.951746194226,0.974308648281,1.0,0.9962391922,0.990368301158,0.96891622288,0.999973382373,0.997282062801,0.999908923377,0.988001872435,0.988031528836,0.991264593856,0.988113997977,0.999341378893,1.0,0.999916849629,0.999505272309,0.999186298252,1.0,0.977073786624,1.0,0.999082976651
new,0.916109254549,0.999587417753,0.999939373467,0.999176584523,1.0,0.997698601387,0.962750767148,0.996057362063,0.999132188623,1.0,0.991358844922,0.965069057066,1.0,0.994822055634,0.844692406932,0.919811444658,0.99997161181,0.996027125946,0.999903730023,0.98841836892,0.973728759887,0.945754421122,0.972212472152,0.999055868674,1.0,0.999930747098,0.999347823068,0.999380716173,1.0,0.897226132368,1.0,0.999431493437
pbm,0.924393853202,0.637791682431,0.999936031025,0.999809475636,1.0,0.99835743771,0.972708412078,0.999815560969,0.998649629393,1.0,0.998089502409,0.954298282583,1.0,0.993039485503,0.944368802,0.925363444347,0.999976123106,0.996464549813,0.999921743062,0.992379889642,0.987710240578,0.986138898357,0.974949278427,0.999397531114,1.0,0.999957082643,0.994151684113,0.998633778215,1.0,0.964172814443,1.0,0.999045301807
pbs,0.990388388615,0.999485330375,0.999931453132,0.990486098707,1.0,0.992833899135,0.966798717974,0.98854471265,0.996740662009,1.0,0.965148362232,0.823832415008,1.0,0.989166102755,0.972880851949,0.879021958924,0.999972619388,0.9967031511,0.999914381995,0.986101377409,0.98294869352,0.984065599669,1.0,0.998245271992,1.0,1.0,0.999335480051,0.999112803724,1.0,0.967561403779,1.0,0.975915334057
pbz,0.897264947808,0.999658350393,0.999933830244,0.999752126704,1.0,0.995983617179,0.950506420884,0.996812543997,0.996117734736,1.0,0.854185751496,0.962276724502,1.0,0.970421632407,0.950206375282,0.930218556949,0.999969351209,0.996471523143,0.999908396822,0.988253212694,0.977197493478,0.776004789934,0.990540179352,0.998740666962,1.0,0.999912325099,0.999298537052,0.998896409281,1.0,0.955467581443,1.0,0.985857177893
snd,0.942571181673,0.999307518276,0.999945616788,0.99978623101,1.0,0.999012747651,0.975644554125,0.999779776831,0.99905515096,1.0,0.991534697378,0.978686063257,1.0,0.997490894877,0.993830981966,0.974335940383,0.999970513664,0.993763548723,0.999908284405,0.998050221076,0.987279574653,0.998807331306,0.99579022155,0.999116380126,1.0,0.999968550124,0.999554716718,0.999040430507,1.0,0.970754933138,1.0,0.999211137368
spi,0.906358223829,0.997956371158,0.999938001588,0.999513775095,1.0,0.997208830715,0.962915714661,0.999673763383,0.992780788141,1.0,0.976695119302,0.889985750507,1.0,0.982136348186,0.928792095653,0.850574402985,0.999979897318,0.996543263394,0.999916336869,0.992105630411,0.9604365736,0.991038719436,0.993005298216,0.998289280008,1.0,0.999920372927,0.999405220316,0.998946582631,1.0,0.780643082128,1.0,0.999395206669
sqr,0.674017889247,0.99968888596,0.999925111726,0.999737714766,1.0,0.993767879265,0.971914488289,0.9997490191,0.998647183443,1.0,0.922208544482,0.930943263353,1.0,0.869050460689,0.955766657413,0.928903192333,0.999447063582,0.996615273675,0.997886919699,0.993672660352,0.970216557814,0.886523296692,0.985484820616,0.996196055744,1.0,0.999934892233,0.999344766871,0.999213965524,1.0,0.79774282215,1.0,0.999423015483
str,0.753433967372,0.999592534196,0.999945702721,0.996891306635,1.0,0.986272517593,0.950428765285,0.99927069091,0.998621210585,1.0,0.98663612019,0.927162322083,1.0,0.921511337606,0.990179638506,0.89524191191,0.999971535643,0.977137061802,0.999909457634,0.990784417732,0.950204932162,0.92997481258,0.985714790253,0.99892615472,1.0,0.999916309214,0.999462837546,0.998537626499,1.0,0.864726343398,1.0,0.999016152049
